model,dataset,experiment_name,perturbation,dose,DEGs,r2mean,r2mean_top20,r2mean_top100,r2mean_all_boostrap_mean,r2mean_top20_boostrap_mean,r2mean_top100_boostrap_mean,cell_type_test,average_mean_expressed_diff,average_fractions_diff,average_mean_degs20_diff,average_mean_degs100_diff,edistance,wasserstein,euclidean,mean_pairwise,mmd
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,2,0.976,0.939,0.958,0.9756012972934728,0.9272643460843109,0.9073897113945636,Stellate Cells,0.8853801,0.7070282085826828,0.65991116,0.72544885,1.0210321820396449,0.997486932232883,1.0104613,0.9929512,1.0210320389625054
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,1,0.976,0.972,0.968,0.9757885637088596,0.9684148543796688,0.9714717836790396,Hepatocytes - central,0.90644175,0.6883440447525475,0.62069833,0.6079414,3.4066130637307133,1.5931165986711486,1.8457047,1.0849046,3.406612531333177
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,2,0.972,0.994,0.978,0.9696017448376556,0.9974799441563084,0.9938197916307908,Cholangiocytes,0.8873862,0.6939593547007924,0.7700714,0.8336155,4.247255555321411,1.1312538920029238,2.0608873,1.0521638,4.247255824255216
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,0,0.988,0.99,0.996,0.9888366620353866,0.9961700718176898,0.9932189591480732,Endothelial Cells,0.9138866,0.7277639028516056,0.688425,0.74677604,1.8192396352629847,1.1616500122047362,1.3487915,1.0505613,1.8192401918877457
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,1,0.974,0.974,0.949,0.9718034866391688,0.993402199076452,0.9899227346082928,Cholangiocytes,0.88389546,0.6949493203946806,0.81021786,0.87911797,3.2336559377045058,0.9624748712974852,1.7982366,0.97014093,3.233655886398965
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,0,0.949,0.937,0.885,0.94594236318971,0.8610213822538836,0.9281180985685364,Portal Fibroblasts,0.8589516,0.7208879079721776,0.68973947,0.8042074,2.785316381761997,0.9154827184127594,1.6689266,0.95967895,2.785316375514141
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.964,0.97,0.982,0.9644089727411292,0.9757584856206658,0.9617647717809004,Endothelial Cells,0.9100317,0.7497406596553429,0.5822724,0.64662147,2.0323897725089206,1.1527807593663844,1.4256197,1.0566105,2.0323900730946893
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.941,0.956,0.937,0.9373648701042556,0.8906558207339768,0.96021639897188,Cholangiocytes,0.8645863,0.7527752003771806,0.78689903,0.8222123,1.853750533112973,1.007352317425659,1.3615252,0.99399,1.853750540783476
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,27,0.99,0.992,0.992,0.9903598892959472,0.9918047884685648,0.9881118709020896,Hepatocytes - portal,0.9163563,0.6970524340211854,0.40855426,0.5461322,0.266619924570297,0.990452539239174,0.5163534,0.93779063,0.2666200644584658
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,0,0.982,0.978,0.984,0.982732461293936,0.9845586594057272,0.9766190141298862,Hepatocytes - central,0.8916327,0.6697197186724531,0.39474005,0.47614735,1.4298344517521555,1.0846608272056018,1.1957564,0.933014,1.4298340666233595
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,1,0.984,0.982,0.986,0.9847390339025442,0.9819441335225316,0.9785126989476108,Stellate Cells,0.8819652,0.705654420174128,0.5715163,0.6409375,1.360481374166043,1.022452795647176,1.1663969,0.9723079,1.3604814193828012
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,0,0.988,0.986,0.99,0.98730877640902,0.988624796040794,0.9860308088036404,Hepatocytes - portal,0.90539724,0.6965779291968734,0.32727456,0.4641245,1.4781005022308324,1.0997071600106625,1.215771,0.9489295,1.4781002471277156
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,2,0.986,0.986,0.982,0.985552051181586,0.9816849840770632,0.9847943514418326,Hepatocytes - central,0.89062124,0.6796117634732912,0.30168486,0.50634515,1.2786637570066113,1.1353770843439508,1.13078,0.9570718,1.278663231805346
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,2,0.986,0.986,0.998,0.9851002933766436,0.993737111513986,0.9843210022100938,Endothelial Cells,0.90867144,0.7160978820935414,0.5662172,0.6695813,1.673647686535641,1.019589667688784,1.2936953,0.979311,1.673647913281122
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,2,0.945,0.97,0.951,0.9373998486213928,0.9368585506196674,0.9540955745040886,Portal Fibroblasts,0.83017963,0.674357142857143,0.61020756,0.7673835,13.327038403021255,1.0149748341620015,3.650622,0.99806327,13.327037707839075
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,1,0.984,0.978,0.982,0.9847867585534028,0.9857544322321468,0.9758001444715974,Endothelial Cells,0.9113195,0.7311519872763133,0.6641609,0.7265331,2.6120614993715097,1.0767121753588584,1.6161885,1.000846,2.6120614432313305
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,0,0.927,0.945,0.914,0.9177024909656976,0.8645222717482856,0.941076888941254,Portal Fibroblasts,0.85474074,0.7308717983130927,0.71377885,0.79536194,1.5430112587234828,0.9605444312482506,1.24218,0.9821922,1.543011167351117
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,2,0.943,0.974,0.996,0.9397732346105292,0.9841943456797518,0.9563028226728124,Cholangiocytes,0.87206244,0.7364751362776728,0.7313916,0.8144043,1.1865580398027942,0.8706809281635092,1.0892928,0.9238956,1.186558088371094
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,8,0.968,0.955,0.982,0.9678709394641608,0.9785912463750563,0.9367882086236898,Stellate Cells,0.88643324,0.7049783177064551,0.47699705,0.6897667,0.8634455942651782,0.9873762910008492,0.92921764,0.9819227,0.8634455855691593
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,1,0.939,0.97,0.887,0.9322133823447932,0.9731510185743446,0.9462191739198026,Portal Fibroblasts,0.8606887,0.7306535714285713,0.78571445,0.8525193,1.5485859201075405,1.1608800491685016,1.244422,1.0715182,1.5485859557019672
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,3,0.988,0.992,0.996,0.9883017492452976,0.9946354848133075,0.989700643138714,Hepatocytes - portal,0.92176366,0.6943722024365002,0.50193197,0.62787837,2.3429382749047294,1.60576858477434,1.5306674,1.0952173,2.3429411432116103
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,7,0.984,0.98,0.986,0.9847472440154867,0.9790976578190635,0.9829422458463608,Hepatocytes - central,0.9077161,0.6726428891383296,0.3780558,0.5239817,0.4543760518621251,0.9774498627115676,0.674074,0.90455836,0.4543762224545011
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,23,0.986,0.99,0.99,0.9857395238519282,0.9896141020555927,0.9865112060396036,Hepatocytes - portal,0.91585076,0.6938632999737682,0.44769806,0.5658489,0.5467577195614766,1.1428135656417238,0.73943174,0.96749955,0.5467581175974298
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,45,0.986,0.986,0.992,0.986045780532352,0.9907882018509696,0.9857249105109996,Hepatocytes - portal,0.9142654,0.6795617359761542,0.35836068,0.5149447,0.1617787818322291,0.6479084894915076,0.40221766,0.8066049,0.1617792927289536
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,1,0.98,0.982,0.996,0.9806370942946242,0.9946433126363377,0.9862878033765502,Endothelial Cells,0.91231966,0.7373006017511109,0.67546046,0.7428264,1.44356191458729,1.1507900684452912,1.201483,1.053084,1.443561869109353
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,1,0.966,0.966,0.97,0.9634306104196748,0.9629501102438468,0.972560100480352,Cholangiocytes,0.8770044,0.6994017414431082,0.5927311,0.79282486,1.5368603534018588,1.0382170382611349,1.2397017,1.0096017,1.5368604297006223
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,3,0.972,0.994,0.966,0.9702354432981976,0.9954415201864876,0.9924298655907456,Cholangiocytes,0.88322955,0.7153174743790168,0.7670034,0.82811975,7.019467620106737,1.0991718103081112,2.6494277,1.043981,7.019467942732217
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,2,0.982,0.984,0.984,0.981225627173924,0.991948680779046,0.9826331157521392,Stellate Cells,0.87038726,0.7136886619720956,0.60171306,0.6984758,1.11711557003226,0.8888202429838294,1.0569372,0.9441781,1.1171154633665246
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,5,0.976,0.978,0.97,0.975031088904028,0.9860688549198896,0.978160865625914,Endothelial Cells,0.90823764,0.7119068691192824,0.64464915,0.74410003,1.811797187370968,0.9565053015682536,1.3460307,0.9680419,1.8117963547685445
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,1,0.956,0.958,0.974,0.9562557348820392,0.9862257361044392,0.95123870368205,Stellate Cells,0.8781555,0.7060967548304865,0.67366433,0.720362,1.548652809731775,0.9517672761842496,1.244448,0.9819078,1.5486526430638268
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,2,0.968,0.968,0.933,0.9665963763291546,0.9924832843053956,0.9858713066023402,Cholangiocytes,0.8833244,0.7155753457788527,0.8153373,0.8755146,2.6935589678565424,0.9449927393687632,1.6412066,0.9655772,2.6935587844011533
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,2,0.97,0.966,0.976,0.9700588149656793,0.9837869328208338,0.9644230121579008,Endothelial Cells,0.9106931,0.7637009242208016,0.6862759,0.72967094,1.862498291518108,1.094270095160964,1.3647336,1.0162531,1.8624984924394927
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,44,0.988,0.988,0.99,0.9874678376369588,0.989672546947664,0.9862670257155172,Hepatocytes - portal,0.91471773,0.6831541935971749,0.3262724,0.50063676,0.1516926982882562,0.6347666325323821,0.3894781,0.7980103,0.1516924159137132
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,0,0.982,0.99,0.988,0.9817229118085864,0.9856959652352674,0.9831369650617918,Endothelial Cells,0.91200984,0.7481251533631446,0.6349603,0.6973766,3.5669931681304647,1.0709287203062507,1.888649,1.0122305,3.566993095434192
